order_ref_id , restaurant_name, first_name, order_type, total_amount, created_time
#FR26642767,Blue Fish Grill,AndrewMartin,Pickup,6.42,26-10-2015
#FR26982708,Blue Fish Grill,AndrewMartin,Pickup,10.70,26-10-2015
#FR26411371,Blue Fish Grill,AndrewMartin,Pickup,10.70,26-10-2015
#FR26517053,Blue Fish Grill,AndrewMartin,Pickup,4.40,26-10-2015
#FR2616529,Blue Fish Grill,AndrewMartin,Pickup,22.77,26-10-2015
#FR26554532,Blue Fish Grill,AndrewMartin,Pickup,7.70,26-10-2015
#FR26918932,Blue Fish Grill,AndrewMartin,Pickup,8.80,26-10-2015
#FR2678797,Blue Fish Grill,AndrewMartin,Pickup,10.00,26-10-2015
#FR26600010,Blue Fish Grill,AndrewMartin,Pickup,10.00,26-10-2015
#FR26726642,Blue Fish Grill,AndrewMartin,Pickup,7.70,26-10-2015
#FR26868403,Blue Fish Grill,AndrewMartin,Pickup,4.40,26-10-2015
#FR26596476,Blue Fish Grill,AndrewMartin,Pickup,5.50,26-10-2015
#FR26285591,Blue Fish Grill,AndrewMartin,Delivery,7.49,27-10-2015
#FR26815722,Blue Fish Grill,AndrewMartin,Delivery,7.49,27-10-2015
#FR26644883,Blue Fish Grill,AndrewMartin,Delivery,7.49,27-10-2015
#FR2671427,Blue Fish Grill,AndrewMartin,Delivery,7.49,27-10-2015
#FR26631314,Blue Fish Grill,AndrewMartin,Delivery,11.23,27-10-2015
#FR26323396,Blue Fish Grill,AndrewMartin,Pickup,24.24,28-10-2015
#FR26290055,Blue Fish Grill,AndrewMartin,Pickup,12.30,28-10-2015
#FR26290055,Blue Fish Grill,AndrewMartin,Delivery,13.91,28-10-2015
#FR29783774,Blue Fish Grill,JibinJoy,Pickup,10.20,04-11-2015
#FR29324758,Blue Fish Grill,JibinJoy,Pickup,8.16,04-11-2015
#FR2995373,Blue Fish Grill,JibinJoy,Pickup,46.72,04-11-2015
#FR29893418,Blue Fish Grill,JibinJoy,Pickup,5.61,04-11-2015
#FR29364916,Blue Fish Grill,JibinJoy,Pickup,8.16,04-11-2015
#FR29515808,Blue Fish Grill,JibinJoy,Pickup,29.27,04-11-2015
#FR29387270,Blue Fish Grill,JibinJoy,Pickup,8.16,05-11-2015
#FR29421678,Blue Fish Grill,JibinJoy,Pickup,10.20,06-11-2015
#FR29734901,Red Lobster,JibinJoy,Pickup,13.91,06-11-2015
#FR29433295,Red Lobster,JibinJoy,Pickup,53.03,06-11-2015
#FR29556038,Blue Fish Grill,JibinJoy,Pickup,3.06,06-11-2015
#FR29433295,Blue Fish Grill,JibinJoy,Pickup,25.50,06-11-2015
#FR29571777,Red Lobster,JibinJoy,Pickup,738.30,06-11-2015
#FR23851877,Blue Fish Grill,MaheshTestaccount,Pickup,10.20,09-11-2015
#FR23233469,Blue Fish Grill,MaheshTestaccount,Pickup,20.20,09-11-2015
#FR29484137,Red Lobster,JibinJoy,Pickup,70.62,09-11-2015
#FR29906602,Red Lobster,JibinJoy,Pickup,70.62,09-11-2015
#FR29288248,Red Lobster,JibinJoy,Pickup,70.62,09-11-2015
#FR29288248,Red Lobster,JibinJoy,Pickup,49.71,09-11-2015
#FR29696312,Blue Fish Grill,JibinJoy,Pickup,9.18,09-11-2015
#FR29221588,Blue Fish Grill,JibinJoy,Pickup,10.20,09-11-2015
#FR29741513,Blue Fish Grill,JibinJoy,Pickup,8.16,09-11-2015
#FR2949127,Blue Fish Grill,JibinJoy,Pickup,10.20,09-11-2015
#FR29926988,Blue Fish Grill,JibinJoy,Pickup,20.20,09-11-2015
#FR23520074,Blue Fish Grill,MaheshTestaccount,Pickup,10.20,09-11-2015
#FR23879361,Blue Fish Grill,MaheshTestaccount,Pickup,17.14,09-11-2015
#FR23522409,Blue Fish Grill,MaheshTestaccount,Pickup,76.50,10-11-2015
#FR23215449,Blue Fish Grill,MaheshTestaccount,Delivery,21.40,10-11-2015
#FR23638651,Blue Fish Grill,MaheshTestaccount,Delivery,21.40,10-11-2015
#FR23827126,Blue Fish Grill,MaheshTestaccount,Pickup,16.05,10-11-2015
#FR29136258,Blue Fish Grill,JibinJoy,Pickup,8.56,11-11-2015
#FR29968515,Blue Fish Grill,JibinJoy,Pickup,7.49,11-11-2015
#FR29982620,Black Lobster,JibinJoy,Pickup,50.29,11-11-2015
#FR36939593,Blue Fish Grill,AnamikaAnamika,Pickup,9.81,19-11-2015
#FR36100964,Blue Fish Grill,AnamikaAnamika,Pickup,2.73,20-11-2015
#FR36923994,Red Lobster,AnamikaAnamika,Pickup,3.27,20-11-2015
#FR36762543,Red Lobster,AnamikaAnamika,Pickup,17.88,20-11-2015
#FR36302347,Red Lobster,AnamikaAnamika,Pickup,785.13,20-11-2015
#FR36318765,Red Lobster,AnamikaAnamika,Pickup,4.47,20-11-2015
#FR36848904,Red Lobster,AnamikaAnamika,Pickup,7.74,20-11-2015
#FR36901695,Red Lobster,AnamikaAnamika,Pickup,4.47,20-11-2015
#FR36796651,Red Lobster,AnamikaAnamika,Pickup,819.68,20-11-2015
#FR36639025,Red Lobster,AnamikaAnamika,Pickup,4.36,20-11-2015
#FR3687387,Red Lobster,AnamikaAnamika,Pickup,13.41,20-11-2015
#FR36264423,Red Lobster,AnamikaAnamika,Pickup,2.18,20-11-2015
#FR36144872,Red Lobster,AnamikaAnamika,Pickup,2.18,20-11-2015
#FR36144872,Red Lobster,AnamikaAnamika,Pickup,6.54,20-11-2015
#FR36482111,Red Lobster,AnamikaAnamika,Pickup,3.27,20-11-2015
#FR36518084,Red Lobster,AnamikaAnamika,Pickup,2.18,20-11-2015
#FR36856332,Blue Fish Grill,AnamikaAnamika,Pickup,69.61,20-11-2015
#FR36771610,Blue Fish Grill,AnamikaAnamika,Pickup,12.32,20-11-2015
#FR36167376,Red Lobster,AnamikaAnamika,Pickup,3.57,20-11-2015
#FR36293192,Red Lobster,AnamikaAnamika,Pickup,4.76,20-11-2015
#FR36495648,Red Lobster,AnamikaAnamika,Pickup,52.32,20-11-2015
#FR3640199,Red Lobster,AnamikaAnamika,Pickup,3.27,20-11-2015
#FR36615651,Blue Fish Grill,AnamikaAnamika,Pickup,3.82,20-11-2015
#FR36669026,Red Lobster,AnamikaAnamika,Pickup,4.76,23-11-2015
#FR36835944,Red Lobster,AnamikaAnamika,Pickup,20.17,24-11-2015
#FR36969492,Blue Fish Grill,AnamikaAnamika,Pickup,6.00,26-11-2015
#FR23368845,Blue Fish Grill,MaheshTestaccount,Pickup,4.90,27-11-2015
#FR23226725,Blue Fish Grill,MaheshTestaccount,Delivery,8.40,27-11-2015
#FR23340060,Blue Fish Grill,MaheshTestaccount,Delivery,10.50,27-11-2015
#FR23108681,Blue Fish Grill,MaheshTestaccount,Delivery,11.55,27-11-2015
#FR23454955,Blue Fish Grill,MaheshTestaccount,Delivery,13.40,27-11-2015
#FR36412733,Red Lobster,AnamikaAnamika,Pickup,184.80,07-12-2015
#FR36533954,Blue Fish Grill,AnamikaAnamika,Pickup,15.53,07-12-2015
